ObservationDay,Estado,Deaths
4/1/20,CIUDAD DE MÉXICO,8
4/1/20,SINALOA,4
4/1/20,HIDALGO,3
4/1/20,JALISCO,3
4/1/20,SAN LUIS POTOSÍ,2
4/1/20,COAHUILA,2
4/1/20,BAJA CALIFORNIA SUR,2
4/1/20,DURANGO,1
4/1/20,MÉXICO,1
4/1/20,MICHOACÁN,1
4/1/20,MORELOS,1
4/1/20,OAXACA,1
4/1/20,PUEBLA,1
4/1/20,QUERETARO,1
4/1/20,QUINTANA ROO,1
4/1/20,VERACRUZ,1
4/1/20,GUERRERO,1
4/1/20,NAYARIT,1
4/1/20,TABASCO,1
4/1/20,ZACATECAS,1
4/2/20,CIUDAD DE MÉXICO,13
4/2/20,SINALOA,4
4/2/20,JALISCO,4
4/2/20,HIDALGO,3
4/2/20,MORELOS,3
4/2/20,TABASCO,3
4/2/20,BAJA CALIFORNIA,3
4/2/20,SAN LUIS POTOSÍ,2
4/2/20,COAHUILA,2
4/2/20,BAJA CALIFORNIA SUR,2
4/2/20,DURANGO,1
4/2/20,MEXICO,1
4/2/20,MICHOACÁN,1
4/2/20,OAXACA,1
4/2/20,PUEBLA,1
4/2/20,QUERETARO,1
4/2/20,QUINTANA ROO,1
4/2/20,VERACRUZ,1
4/2/20,GUERRERO,1
4/2/20,NAYARIT,1
4/2/20,ZACATECAS,1
4/3/20,CIUDAD DE MÉXICO,15
4/3/20,JALISCO,6
4/3/20,SINALOA,5
4/3/20,BAJA CALIFORNIA,5
4/3/20,HIDALGO,3
4/3/20,MORELOS,3
4/3/20,TABASCO,3
4/3/20,COAHUILA,3
4/3/20,SAN LUIS POTOSÍ,2
4/3/20,BAJA CALIFORNIA SUR,2
4/3/20,QUERETARO,2
4/3/20,VERACRUZ,2
4/3/20,DURANGO,1
4/3/20,MÉXICO,1
4/3/20,MICHOACÁN,1
4/3/20,OAXACA,1
4/3/20,PUEBLA,1
4/3/20,QUINTANA ROO,1
4/3/20,GUERRERO,1
4/3/20,NAYARIT,1
4/3/20,ZACATECAS,1
4/4/20,CIUDAD DE MÉXICO,17
4/4/20,SINALOA,10
4/4/20,JALISCO,6
4/4/20,BAJA CALIFORNIA,5
4/4/20,HIDALGO,5
4/4/20,COAHUILA,4
4/4/20,MORELOS,3
4/4/20,TABASCO,3
4/4/20,VERACRUZ,3
4/4/20,MÉXICO,3
4/4/20,SAN LUIS POTOSÍ,2
4/4/20,BAJA CALIFORNIA SUR,2 
4/4/20,QUERETARO,2
4/4/20,DURANGO,2
4/4/20,QUINTANA ROO,2
4/4/20,ZACATECAS,2
4/4/20,MICHOACÁN,1
4/4/20,OAXACA,1
4/4/20,PUEBLA,1
4/4/20,GUERRERO,1
4/4/20,NAYARIT,1
4/4/20,NUEVO LEÓN,1 
4/4/20,SONORA,1
4/4/20,TAMAULIPAS,1
4/5/20,CIUDAD DE MÉXICO,19
4/5/20,SINALOA,12
4/5/20,JALISCO,6
4/5/20,BAJA CALIFORNIA,6
4/5/20,HIDALGO,5
4/5/20,COAHUILA,4
4/5/20,TABASCO,4
4/5/20,QUINTANA ROO,4
4/5/20,MORELOS,3
4/5/20,VERACRUZ,3
4/5/20,MÉXICO,3
4/5/20,DURANGO,3
4/5/20,MICHOACÁN,3
4/5/20,SAN LUIS POTOSÍ,2
4/5/20,BAJA CALIFORNIA SUR,2
4/5/20,QUERETARO,2
4/5/20,ZACATECAS,2
4/5/20,GUERRERO,2
4/5/20,NUEVO LEÓN,2
4/5/20,YUCATÁN,2
4/5/20,OAXACA,1
4/5/20,PUEBLA,1
4/5/20,NAYARIT,1
4/5/20,SONORA,1
4/5/20,TAMAULIPAS,1
4/6/20,CIUDAD DE MÉXICO,29
4/6/20,SINALOA,12
4/6/20,MÉXICO,8
4/6/20,QUINTANA ROO,8
4/6/20,TABASCO,8
4/6/20,BAJA CALIFORNIA,7
4/6/20,JALISCO,7
4/6/20,COAHUILA,5
4/6/20,HIDALGO,5
4/6/20,DURANGO,4
4/6/20,GUERRERO,3
4/6/20,MICHOACÁN,3
4/6/20,MORELOS,3
4/6/20,NUEVO LEÓN,3
4/6/20,SAN LUIS POTOSÍ,3
4/6/20,VERACRUZ,3
4/6/20,BAJA CALIFORNIA SUR,2
4/6/20,PUEBLA,2
4/6/20,QUERETARO,2
4/6/20,YUCATÁN,2
4/6/20,ZACATECAS,2
4/6/20,NAYARIT,1
4/6/20,OAXACA,1
4/6/20,SONORA,1
4/6/20,TAMAULIPAS,1
4/7/20,CIUDAD DE MÉXICO,32
4/7/20,SINALOA,13
4/7/20,QUINTANA ROO,9
4/7/20,MÉXICO,9
4/7/20,TABASCO,8
4/7/20,BAJA CALIFORNIA,7
4/7/20,JALISCO,7
4/7/20,HIDALGO,6
4/7/20,COAHUILA,5
4/7/20,DURANGO,4
4/7/20,MORELOS,4
4/7/20,MICHOACÁN,4
4/7/20,NUEVO LEÓN,4
4/7/20,PUEBLA,4
4/7/20,SAN LUIS POTOSÍ,3
4/7/20,GUERRERO,3
4/7/20,VERACRUZ,3
4/7/20,TAMAULIPAS,3
4/7/20,BAJA CALIFORNIA SUR,2
4/7/20,ZACATECAS,2
4/7/20,YUCATÁN,2
4/7/20,QUERETARO,2
4/7/20,NAYARIT,1
4/7/20,SONORA,1
4/7/20,OAXACA,1
4/7/20,CAMPECHE,1
4/7/20,GUANAJUATO,1
4/8/20,CIUDAD DE MEXICO,39
4/8/20,BAJA CALIFORNIA,15
4/8/20,SINALOA,13
4/8/20,MÉXICO,11
4/8/20,QUINTANA ROO,10
4/8/20,PUEBLA,9
4/8/20,JALISCO,8
4/8/20,TABASCO,8
4/8/20,COAHUILA,7
4/8/20,HIDALGO,7
4/8/20,MICHOACÁN,5
4/8/20,MORELOS,5
4/8/20,DURANGO,4
4/8/20,GUERRERO,4
4/8/20,NUEVO LEÓN,4
4/8/20,SAN LUIS POTOSÍ,4
4/8/20,TAMAULIPAS,3
4/8/20,VERACRUZ,3
4/8/20,YUCATÁN,3
4/8/20,BAJA CALIFORNIA SUR,2
4/8/20,QUERETARO,2
4/8/20,SONORA,2
4/8/20,ZACATECAS,2
4/8/20,CAMPECHE,1
4/8/20,GUANAJUATO,1
4/8/20,NAYARIT,1
4/8/20,OAXACA,1
