,Province/State,Confirmed
02/28/2020,CIUDAD DE MÉXICO,1
02/29/2020,CIUDAD DE MÉXICO,2
02/29/2020,COAHUILA,1
02/29/2020,SINALOA,1
03/01/2020,CHIAPAS,1
03/01/2020,CIUDAD DE MÉXICO,2
03/01/2020,COAHUILA,1
03/01/2020,SINALOA,1
03/02/2020,CHIAPAS,1
03/02/2020,CIUDAD DE MÉXICO,2
03/02/2020,COAHUILA,1
03/02/2020,SINALOA,1
03/03/2020,CHIAPAS,1
03/03/2020,CIUDAD DE MÉXICO,2
03/03/2020,COAHUILA,1
03/03/2020,SINALOA,1
03/04/2020,CHIAPAS,1
03/04/2020,CIUDAD DE MÉXICO,2
03/04/2020,COAHUILA,1
03/04/2020,SINALOA,1
03/05/2020,CHIAPAS,1
03/05/2020,CIUDAD DE MÉXICO,2
03/05/2020,COAHUILA,1
03/05/2020,SINALOA,1
03/06/2020,CHIAPAS,1
03/06/2020,CIUDAD DE MÉXICO,2
03/06/2020,COAHUILA,1
03/06/2020,MÉXICO,1
03/06/2020,SINALOA,1
03/07/2020,CHIAPAS,1
03/07/2020,CIUDAD DE MÉXICO,2
03/07/2020,COAHUILA,1
03/07/2020,MÉXICO,1
03/07/2020,SINALOA,1
03/08/2020,CHIAPAS,1
03/08/2020,CIUDAD DE MÉXICO,3
03/08/2020,COAHUILA,1
03/08/2020,MÉXICO,1
03/08/2020,SINALOA,1
03/09/2020,CHIAPAS,1
03/09/2020,CIUDAD DE MÉXICO,3
03/09/2020,COAHUILA,1
03/09/2020,MÉXICO,1
03/09/2020,SINALOA,1
03/10/2020,CHIAPAS,1
03/10/2020,CIUDAD DE MÉXICO,3
03/10/2020,COAHUILA,1
03/10/2020,MÉXICO,1
03/10/2020,SINALOA,1
03/11/2020,CHIAPAS,1
03/11/2020,CIUDAD DE MÉXICO,3
03/11/2020,COAHUILA,1
03/11/2020,MÉXICO,1
03/11/2020,QUERETARO,1
03/11/2020,SINALOA,1
03/12/2020,CHIAPAS,1
03/12/2020,CIUDAD DE MÉXICO,5
03/12/2020,COAHUILA,1
03/12/2020,MÉXICO,2
03/12/2020,NUEVO LEÓN,1
03/12/2020,QUERETARO,1
03/12/2020,SINALOA,1
03/13/2020,CHIAPAS,1
03/13/2020,CIUDAD DE MÉXICO,5
03/13/2020,COAHUILA,1
03/13/2020,MÉXICO,2
03/13/2020,NUEVO LEÓN,1
03/13/2020,QUERETARO,1
03/13/2020,SINALOA,1
03/14/2020,CHIAPAS,1
03/14/2020,CIUDAD DE MÉXICO,11
03/14/2020,COAHUILA,1
03/14/2020,DURANGO,1
03/14/2020,MÉXICO,3
03/14/2020,NUEVO LEÓN,1
03/14/2020,PUEBLA,1
03/14/2020,QUERETARO,4
03/14/2020,QUINTANA ROO,1
03/14/2020,SINALOA,1
03/14/2020,YUCATÁN,1
03/15/2020,CHIAPAS,1
03/15/2020,CIUDAD DE MÉXICO,17
03/15/2020,COAHUILA,1
03/15/2020,DURANGO,1
03/15/2020,JALISCO,2
03/15/2020,MÉXICO,4
03/15/2020,NUEVO LEÓN,3
03/15/2020,OAXACA,1
03/15/2020,PUEBLA,3
03/15/2020,QUERETARO,4
03/15/2020,QUINTANA ROO,1
03/15/2020,SAN LUIS POTOSÍ,1
03/15/2020,SINALOA,1
03/15/2020,YUCATÁN,1
03/16/2020,CHIAPAS,1
03/16/2020,CIUDAD DE MÉXICO,22
03/16/2020,COAHUILA,1
03/16/2020,DURANGO,1
03/16/2020,JALISCO,2
03/16/2020,MÉXICO,4
03/16/2020,NUEVO LEÓN,5
03/16/2020,OAXACA,2
03/16/2020,PUEBLA,3
03/16/2020,QUERETARO,6
03/16/2020,QUINTANA ROO,1
03/16/2020,SAN LUIS POTOSÍ,2
03/16/2020,SINALOA,2
03/16/2020,YUCATÁN,1
03/17/2020,AGUASCALIENTES,1
03/17/2020,CHIAPAS,1
03/17/2020,CHIHUAHUA,1
03/17/2020,CIUDAD DE MÉXICO,29
03/17/2020,COAHUILA,1
03/17/2020,DURANGO,3
03/17/2020,GUANAJUATO,1
03/17/2020,GUERRERO,2
03/17/2020,JALISCO,2
03/17/2020,MÉXICO,8
03/17/2020,NUEVO LEÓN,9
03/17/2020,OAXACA,2
03/17/2020,PUEBLA,6
03/17/2020,QUERETARO,7
03/17/2020,QUINTANA ROO,4
03/17/2020,SAN LUIS POTOSÍ,2
03/17/2020,SINALOA,2
